policy_id,family,horizon_hours,lookback_hours,threshold,maximum_spread,exit_hours,risk_fraction,scenario,training_cash,training_pnl,total_fees,closed_trades,release_days,maximum_cost_drawdown,mean_daily_log_growth,simultaneous_lower_daily_log_growth,selection_rejections
86b823cc6273c088,momentum,24,1,0.03,0.03,1,0.005,costed,159.95,-40.05,11.81,238,155,0.20025,-0.0009010326619052805,-0.0013297585575515916,nonpositive_simultaneous_lower_bound;nonpositive_stress_profit
86b823cc6273c088,momentum,24,1,0.03,0.03,1,0.01,costed,159.8,-40.2,9.15,104,66,0.201,-0.0009048158597413788,-0.0018381778350120561,nonpositive_simultaneous_lower_bound;nonpositive_stress_profit
86b823cc6273c088,momentum,24,1,0.03,0.03,1,0.025,costed,158.26,-41.74,10.5,43,30,0.2087,-0.0009438633724475384,-0.002443190161882558,nonpositive_simultaneous_lower_bound;insufficient_release_days;nonpositive_stress_profit
86b823cc6273c088,momentum,24,1,0.03,0.03,1,0.05,costed,158.13,-41.87,9.76,19,14,0.20935,-0.0009471769637613376,-0.0031946576050589674,nonpositive_simultaneous_lower_bound;insufficient_release_days;nonpositive_stress_profit
86b823cc6273c088,momentum,24,1,0.03,0.03,1,0.005,stress,161.37,-38.63,7.08,163,124,0.19319034048297584,-0.0008653931515918386,-0.0012356894359437625,
86b823cc6273c088,momentum,24,1,0.03,0.03,1,0.01,stress,160.11,-39.89,6.49,85,60,0.20136979453082038,-0.0008970011594115876,-0.001706013806390546,
86b823cc6273c088,momentum,24,1,0.03,0.03,1,0.025,stress,158.91,-41.09,6.72,34,23,0.20576769292283087,-0.0009273361384011767,-0.0024284859422255838,
86b823cc6273c088,momentum,24,1,0.03,0.03,1,0.05,stress,157.23,-42.77,5.86,13,9,0.21475303401088747,-0.0009701921978461774,-0.003304238394553041,
8f23e52c07927c87,momentum,24,1,0.03,0.03,3,0.005,costed,159.65,-40.35,4.66,150,100,0.20175,-0.0009086026104324383,-0.0016331072858437705,nonpositive_simultaneous_lower_bound;nonpositive_stress_profit
8f23e52c07927c87,momentum,24,1,0.03,0.03,3,0.01,costed,159.5,-40.5,4.5,69,49,0.2028,-0.0009123929206578137,-0.0021649936543366604,nonpositive_simultaneous_lower_bound;insufficient_release_days;nonpositive_stress_profit
8f23e52c07927c87,momentum,24,1,0.03,0.03,3,0.025,costed,156.04,-43.96,2.85,17,12,0.2198,-0.0010008265399579872,-0.0034226708035407756,nonpositive_simultaneous_lower_bound;insufficient_release_days;nonpositive_stress_profit
8f23e52c07927c87,momentum,24,1,0.03,0.03,3,0.05,costed,156.36,-43.64,3.38,10,7,0.2182,-0.000992565829126139,-0.003916955638522451,nonpositive_simultaneous_lower_bound;insufficient_release_days;nonpositive_stress_profit
8f23e52c07927c87,momentum,24,1,0.03,0.03,3,0.005,stress,159.82,-40.18,4.27,147,105,0.2009,-0.0009043112282327368,-0.0015304001031528928,
8f23e52c07927c87,momentum,24,1,0.03,0.03,3,0.01,stress,155.7,-44.3,4.51,91,56,0.2215,-0.001009622127855177,-0.002313163539848849,
8f23e52c07927c87,momentum,24,1,0.03,0.03,3,0.025,stress,159.52,-40.48,2.59,17,10,0.2024,-0.0009118873400585019,-0.0030443505253765443,
8f23e52c07927c87,momentum,24,1,0.03,0.03,3,0.05,stress,154.76,-45.24,3.76,15,10,0.2345813343884465,-0.0010340396641763075,-0.0037270410203611246,
a6c966d20321869a,momentum,24,1,0.03,0.03,,0.005,costed,159.51,-40.49,4.18,150,99,0.20665472993136377,-0.0009121401224341926,-0.0016506877096631506,nonpositive_simultaneous_lower_bound;nonpositive_stress_profit
a6c966d20321869a,momentum,24,1,0.03,0.03,,0.01,costed,161.25,-38.75,3.61,67,46,0.20224607925592442,-0.0008683927857748171,-0.002145256873900925,nonpositive_simultaneous_lower_bound;insufficient_release_days;nonpositive_stress_profit
a6c966d20321869a,momentum,24,1,0.03,0.03,,0.025,costed,163.71,-36.29,2.55,17,13,0.20265926358854472,-0.0008073419221039784,-0.002938301661597535,nonpositive_simultaneous_lower_bound;insufficient_release_days;nonpositive_stress_profit
a6c966d20321869a,momentum,24,1,0.03,0.03,,0.05,costed,167.81,-32.19,6.35,25,20,0.20536982668813333,-0.0007076007239313168,-0.0033688597393806167,nonpositive_simultaneous_lower_bound;insufficient_release_days;nonpositive_stress_profit
